%File: MA_CRP_09032023.CRS
%DIDACTA Italia:
%Exercise on: C.R.P. OpenLoop

%Test Date: 05/09/2000   User:                               

%Test #: 0

%Sample Rate: 1 s

%Notes: 


%----------
% #       time  Out.Sig  Act.Sig    Noise       SP      
%        [sec]      [%]      [%]      [%]      [%]      
353     354.0     33.2     30.0      0.0     50.0
354     355.0     31.2     30.0      0.0     50.0
355     356.0     29.5     30.0      0.0     50.0
356     357.0     28.3     30.0      0.0     50.0
357     358.0     27.2     30.0      0.0     50.0
358     359.0     26.4     30.0      0.0     50.0
359     360.0     25.6     30.0      0.0     50.0
360     361.0     25.2     30.0      0.0     50.0
361     362.0     24.6     30.0      0.0     50.0
362     363.0     24.2     30.0      0.0     50.0
363     364.0     23.9     30.0      0.0     50.0
364     365.0     23.6     30.0      0.0     50.0
365     366.0     23.2     30.0      0.0     50.0
366     367.0     23.2     30.0      0.0     50.0
367     368.0     22.9     30.0      0.0     50.0
368     369.0     22.9     30.0      0.0     50.0
369     370.0     22.8     30.0      0.0     50.0
370     371.0     22.7     30.0      0.0     50.0
371     372.0     22.7     30.0      0.0     50.0
372     373.0     22.6     30.0      0.0     50.0
373     374.0     22.5     30.0      0.0     50.0
374     375.0     22.3     30.0      0.0     50.0
375     376.0     22.5     30.0      0.0     50.0
376     377.0     22.4     30.0      0.0     50.0
377     378.0     22.4     30.0      0.0     50.0
378     379.0     22.4     30.0      0.0     50.0
379     380.0     22.2     30.0      0.0     50.0
380     381.0     22.3     30.0      0.0     50.0
381     382.0     22.2     30.0      0.0     50.0
382     383.0     22.3     30.0      0.0     50.0
383     384.0     22.3     30.0      0.0     50.0
384     385.0     22.3     30.0      0.0     50.0
385     386.0     22.3     30.0      0.0     50.0
386     387.0     22.2     30.0      0.0     50.0
387     388.0     22.2     30.0      0.0     50.0
388     389.0     22.2     30.0      0.0     50.0
389     390.0     22.2     30.0      0.0     50.0
390     391.0     22.1     30.0      0.0     50.0
391     392.0     22.1     30.0      0.0     50.0
392     393.0     22.2     30.0      0.0     50.0
393     394.0     22.2     30.0      0.0     50.0
394     395.0     22.0     30.0      0.0     50.0
395     396.0     22.2     30.0      0.0     50.0
396     397.0     22.1     30.0      0.0     50.0
397     398.0     22.1     30.0      0.0     50.0
398     399.0     22.2     30.0      0.0     50.0
399     400.0     22.0     30.0      0.0     50.0
400     401.0     22.2     30.0      0.0     50.0
401     402.0     22.1     30.0      0.0     50.0
